YearMonth;AVERAGE_TEMP;MAXIMUM_TEMP;MINIMUM_TEMP
201001;25,41172507;33;20,2
201002;26,4296131;34,2;17
201003;24,24139785;31,5;18,3
201004;21,77541667;29,4;15,2
201005;19,55493911;26,2;13
201006;17,25571031;27;8,8
201007;17,18827493;26,2;5,8
201008;16,29016173;29,8;7,5
201009;18,74194444;24,5;10,4
201010;19,39677419;26,6;12,6
201011;21,61513889;28,3;11,9
201012;23,35403226;31,8;14,5
201101;25,73252688;32,3;20,2
201102;25,33809524;31,7;20,1
201103;23,12554348;30;16,8
201104;22,01196106;31,1;15,5
201105;19,23903096;28,7;9,8
201106;16,50862309;24,3;5,1
201107;15,87254374;22,6;4,6
201108;16,71172507;33;5,3
201109;17,17111111;24,7;7,3
201110;20,65698925;27;13,5
201111;21,26013889;27,9;14,2
201112;22,96271871;36,4;15,7
201201;24,21344086;31,2;16,5
201202;25,89395683;31,7;18,6
201203;24,10807537;32,5;13
201204;21,90986111;29,8;11,1
201205;19,73884409;30;8,5
201206;17,38247566;29,5;6,9
201207;16,02808219;29,4;7,5
201208;18,9120108;30,8;10,8
201209;19,26954103;31,3;8,5
201210;21,33145161;29,8;14,9
201211;22,75781022;30;15,1
201212;25,59521739;38,6;19,5
201301;24,2391129;31,6;18,9
201302;25,08720238;33;19,2
201303;22,97341598;30,6;16,7
201304;21,82027778;30,7;12,6
201305;19,36950067;28,1;8,4
201306;18,09986072;26,1;10,2
201307;15,6169837;30,6;3,8
201308;16,20430108;29,5;7,8
201309;18,30361111;27,9;11
201310;20,4202957;28,2;12,5
201311;22,14319444;31,8;12,8
201312;24,51491935;35,7;17,6
201401;25,97231183;33,6;19
201402;26,44196429;34,2;19,2
201403;24,22741935;31,3;15
201404;22,42236111;29;14,8
201405;19,61612903;28,7;9,9
201406;17,95541667;26,5;8
201407;17,51130552;24,8;8,8
201408;17,71184388;32,1;6,4
201409;19,75062587;28,3;12,2
201410;21,93051075;29,2;14,7
201411;23,21333333;31,2;15,2
201412;24,54314516;32,1;17,1
201501;26,21895161;36,9;19,9
201502;25,2577381;34,6;19,8
201503;24,22620968;30;18,7
201504;23,03416507;29,1;16,5
201505;20,05906344;26,2;12,3
201506;18,22055556;30,4;7,1
201507;18,00887097;24,5;9,9
201508;20,28870968;30,4;12,1
201509;19,33795518;27,1;10,3
201510;19,70564516;25,9;14,3
201511;21,84666667;30,6;17,2
201512;24,33346774;35,3;18,2
201601;25,41236559;32,8;20,6
201602;25,81005747;35,5;19,6
201603;24,22889785;30,5;17,3
201604;24,31319444;33,5;10,3
201605;18,10860215;24,8;9,3
201606;14,20334728;22,6;3,3
201607;15,91357527;26,7;5,3
201608;17,18013514;27,7;6,3
201609;18,47844228;29,7;10,1
201610;20,04710633;29,5;13,2
201611;21,94083333;32,2;14,7
201612;23,77567204;36;14,7
201701;25,84018817;34,5;19,6
201702;26,43169643;33,1;21,9
201703;24,16397849;34;17,5
201704;21,78708333;30,2;10,8
201705;20,29986505;26,4;13,8
201706;18,35312935;29,1;8,3
201707;17,69541161;27,3;4,9
201708;18,69448925;25,9;9
201709;20,97972222;26,6;15,3
201710;21,35040323;31,4;12,2
201711;21,69041667;30,8;14,2
201712;23,82379032;32,1;19
201801;24,71438172;35,6;17,4
201802;24,228125;30,8;18,2
201803;24,40363392;31,3;17,1
201804;23,57611111;32;17,3
201805;20,33172043;28,6;9,7
201806;17,04833333;26,8;7,5
201807;17,05564516;25;7,6
201808;16,27294751;24,3;6,9
201809;19,89138889;28;10,2
201810;20,83978495;30,3;13,8
201811;22,84569444;31,6;15,5
201812;24,51962366;33,4;14,1
201901;27,23763441;39,3;21,8
201902;24,76592262;37,7;18,8
201903;24,42701613;34,2;18,4
201904;23,34041667;30,8;16,3
201905;21,42379032;30,5;13
201906;19,94122563;29,1;11,6
201907;16,76153846;26,4;5,1
201908;17,22834008;30,6;6,2
201909;18,49458333;25,1;11,7
201910;21,53817204;33,2;14,5
201911;22,73805556;29,7;14,9
201912;24,05510753;31,8;15,3
202001;25,20188172;33,3;17,2
202002;24,58275862;32,2;15,9
202003;24,52392473;31,8;17,5
202004;21,81777778;29,4;11,5
202005;19,1344086;28,4;8,5
202006;18,9488178;32,7;11
202007;16,60714286;27,8;6,3
202008;17,43162853;24,8;6,6
202009;19,26527778;27,5;9,7
202010;21,14435484;31,1;14
202011;22,18998609;29,7;13,7
202012;23,80349462;32,3;18,5
202101;24,89516129;32,8;18,6
202102;24,72931548;32,9;17,8
202103;24,66532258;31,3;17,8
202104;21,96013889;30,5;14,9
202105;18,3391129;28;9,1
202106;17,07005571;25,3;6,8
202107;15,82354533;26,1;4
202108;17,59771505;28,2;9,8
202109;19,69097222;27,8;14
202110;19,72271505;28,8;14,7
202111;21,84597222;30,6;15,6
202112;23,47284946;29;16,8
202201;25,71908602;34;18,6
202202;25,48794643;33,8;17,5
202203;24,21747312;32,2;17,2
202204;21,69222222;34,9;13,7
202205;18,4344086;26,3;8,4
202206;16,32972222;22,7;5,4
202207;18,46514132;29,9;9,3
202208;17,07284946;24,4;6,8
202209;17,69082058;33;7,3
202210;20,38629032;33,2;12,9
202211;21,33263889;30,2;12,5
202212;23,63297151;36,2;16
202301;25,56384409;33,9;17,8
202302;25,059375;32,2;17
202303;25,47916667;33,5;19,6
202304;21,81097222;28,8;11,8
202305;20,63041723;28,2;12
202306;18,55243394;31,3;8,1
202307;17,94260753;25,9;9,5
202308;18,4532345;28,7;8,4
202309;20,45824964;31,4;9,9
